SYMBOL,NAME OF COMPANY,Status,Last_Price(5d)
AACG,ATA Creativity Global American Depositary Shares,Listed,0.94
AACI,Armada Acquisition Corp. I Common Stock,Listed,10.19
AAGR,African Agriculture Holdings Inc. Common Stock,Listed,0
AAL,American Airlines Group Inc. Common Stock,Listed,14.96
AAME,Atlantic American Corporation Common Stock,Listed,2.48
AAOI,Applied Optoelectronics Inc. Common Stock,Listed,32.06
AAON,AAON Inc. Common Stock,Listed,77.93
AAPL,Apple Inc. Common Stock,Listed,278.28
ABAT,American Battery Technology Company Common Stock,Listed,4.09
ABCB,Ameris Bancorp Common Stock,Listed,77.95
ABCL,AbCellera Biologics Inc. Common Shares,Listed,3.62
ABEO,Abeona Therapeutics Inc. Common Stock,Listed,5.36
ABL,Abacus Life Inc. Class A Common Stock,Listed,8.3
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,Listed,25.35
ABLV,Able View Global Inc. Class B Ordinary Shares,Listed,0.83
ABNB,Airbnb Inc. Class A Common Stock,Listed,128.39
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Listed,2.14
ABSI,Absci Corporation Common Stock,Listed,3.64
ABTS,Abits Group Inc Ordinary Shares,Listed,5.78
ABUS,Arbutus Biopharma Corporation Common Stock,Listed,4.71
ABVC,ABVC BioPharma Inc. Common Stock,Listed,2.11
ABVX,Abivax SA American Depositary Shares,Listed,125.54
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Listed,27.15
ACB,Aurora Cannabis Inc. Common Shares,Listed,5.4
ACDC,ProFrac Holding Corp. Class A Common Stock,Listed,4.16
ACET,Adicet Bio Inc. Common Stock ,Listed,0.5
ACGL,Arch Capital Group Ltd. Common Stock,Listed,93.92
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Listed,17.23
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Listed,21.09
ACHC,Acadia Healthcare Company Inc. Common Stock,Listed,14.28
ACHV,Achieve Life Sciences Inc. Common Shares,Listed,4.64
ACIC,American Coastal Insurance Corporation Common Stock,Listed,12.67
ACIU,AC Immune SA Common Stock,Listed,3.15
ACIW,ACI Worldwide Inc. Common Stock,Listed,47.53
ACLS,Axcelis Technologies Inc. Common Stock,Listed,85.61
ACLX,Arcellx Inc. Common Stock,Listed,71.86
ACMR,ACM Research Inc. Class A Common Stock,Listed,38.83
ACNB,ACNB Corporation Common Stock,Listed,51.66
ACNT,Ascent Industries Co. Common Stock,Listed,15.56
ACON,Aclarion Inc. Common Stock,Listed,6.44
ACONW,Aclarion Inc. Warrant,Listed,0.04
ACRS,Aclaris Therapeutics Inc. Common Stock,Listed,3.25
ACRV,Acrivon Therapeutics Inc. Common Stock,Listed,2.53
ACT,Enact Holdings Inc. Common Stock,Listed,39.74
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Listed,3.85
ACVA,ACV Auctions Inc. Class A Common Stock,Listed,7.99
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Listed,4.07
ADAG,Adagene Inc. American Depositary Shares,Listed,1.75
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Listed,0.05
ADBE,Adobe Inc. Common Stock,Listed,356.43
ADEA,Adeia Inc. Common Stock,Listed,13.1
ADI,Analog Devices Inc. Common Stock,Listed,279.32
ADIL,Adial Pharmaceuticals Inc Common Stock,Listed,0.3
