SYMBOL,SUFFIX,NAME OF COMPANY,Status,Last_Price(5d)
ABAN,.NS,Aban Offshore Limited,Listed,30.44
AHLUCONT,.NS,Ahluwalia Contracts (India) Limited,Listed,958.7
ARSHIYA,.NS,Arshiya Limited,Listed,1.32
BALKRISIND,.NS,Balkrishna Industries Limited,Listed,2349.0
BFUTILITIE,.NS,BF Utilities Limited,Listed,604.7
CAPLIPOINT,.NS,Caplin Point Laboratories Limited,Listed,1963.9
DHUNINV,.NS,Dhunseri Investments Limited,Listed,1163.6
EUROTEXIND,.NS,Eurotex Industries and Exports Limited,Listed,17.34
FORTIS,.NS,Fortis Healthcare Limited,Listed,874.05
GOLDBEES,.NS,Goldman Sachs Gold Exchange Traded Scheme,Listed,109.61
GSPL,.NS,Gujarat State Petronet Limited,Listed,289.2
HCC,.NS,Hindustan Construction Company Limited,Listed,17.94
IGL,.NS,Indraprastha Gas Limited,Listed,186.71
JKLAKSHMI,.NS,JK Lakshmi Cement Limited,Listed,780.0
JUNIORBEES,.NS,Goldman Sachs Nifty Junior Exchange Traded Scheme,Listed,736.41
KPRMILL,.NS,K.P.R. Mill Limited,Listed,973.9
MAGNUM,.NS,Magnum Ventures Limited,Listed,22.68
MSPL,.NS,MSP Steel & Power Limited,Listed,36.37
OFSS,.NS,Oracle Financial Services Software Limited,Listed,7990.0
PUNJLLOYD,.NS,Punj Lloyd Limited,Listed,2.25
RATNAMANI,.NS,Ratnamani Metals & Tubes Limited,Listed,2451.8
RICOAUTO,.NS,Rico Auto Industries Limited,Listed,118.54
SHILPAMED,.NS,Shilpa Medicare Limited,Listed,331.15
SKFINDIA,.NS,SKF India Limited,Listed,1821.4
TAJGVK,.NS,Taj GVK Hotels & Resorts Limited,Listed,385.8
ZEEMEDIA,.NS,Zee Media Corporation Limited,Listed,8.97
DIVISLAB,.NS,Divi's Laboratories Limited,Listed,6426.5
KAMATHOTEL,.NS,Kamat Hotels (I) Limited,Listed,231.83
SOLARINDS,.NS,Solar Industries India Limited,Listed,12304.0
ABBOTINDIA,.NS,Abbott India Limited,Listed,28010.0
ARCOTECH,.NS,Arcotech Limited,Listed,2.2
ASIANHOTNR,.NS,Asian Hotels (North) Limited,Listed,328.7
CENTRALBK,.NS,Central Bank of India,Listed,36.42
COROMANDEL,.NS,Coromandel International Limited,Listed,2326.6
DLINKINDIA,.NS,D-Link (India) Limited,Listed,427.45
